restaurant_id,name,category_id,latitude,longitude,location_formatted_address,rating,review_count
65,Nat's New York Pizzeria,13065,49.2638609,-123.1659228,"2684 Broadway W (btw Stephens & Trafalgar), Vancouver BC V6K 2G3",3.5,119
66,White Spot,13065,49.2638179420072,-123.163287331925,"2518 Broadway W, Vancouver BC V6K 2G1",3.5,64
67,Coco et Olive Fine Foods & Cafe,13065,49.251657,-123.1011876,"3707 Main St (21st Ave), Vancouver BC V5V 3N8",3.5,82
68,Bob Likes Thai Food,13065,49.25134,-123.10133,"3755 Main St (22nd Avenue E), Vancouver BC V5V 3N8",3.5,193
69,Pizza Hut,13065,49.2543999,-123.10131,"3425 Main St, Vancouver BC V5V 3M9",1.5,38
70,New Sun Restaurant,13065,49.2592643,-123.1152101,"2925 Cambie St, Vancouver BC V5Z 2V7",3.5,27
71,Bubble Waffle Cafe,13065,49.26086,-123.11629,"555 12th Ave W, Vancouver BC V5Z 3X7",4,17
72,Five Star Fried Chicken,13065,49.26086,-123.11629,"555 12th Ave W (Cambie St), Vancouver BC V5Z 3X7",3,6
73,Peaked Pies,13065,49.2896489,-123.1384797,"975 Denman St, Vancouver BC V6G 2M3",4.5,194
74,Legendary Noodle House,13065,49.2883958,-123.13983,"1074 Denman St (at Comox St), Vancouver BC V6G 2M8",3.5,227
75,A&W,13065,49.28962299,-123.13854395,"991 Denman St, Vancouver BC V6G 2M3",3.5,4
76,Cafe Phin and Pho,13065,49.2896213,-123.1380437,"976 Denman St (btwn Nelson & Barclay), Vancouver BC V6G 2M1",4,144
77,Panago Pizza,13065,49.289681,-123.1384315,"969 Denman St (btwn Barclay & Nelson), Vancouver BC V6G 2M3",3,20
78,Gillaneh Grill House,13065,49.2884058,-123.1398146,"1072 Denman St (Comox), Vancouver BC V6G 2M8",3,40
79,Nat's New York Pizzeria,13065,49.28829,-123.13985,"1080 Denman St, Vancouver BC V6G 2M8",3.5,94
80,Big Bang Sushi,13065,49.2883087715973,-123.140502534807,"1103 Denman St, Vancouver BC V6G 2M7",4.5,13
81,Tableau Bar Bistro,13065,49.287494,-123.1235689,"1181 Melville St (btwn Bute & Thurlow), Vancouver BC V6E 0A3",4,264
82,Sciué Italian Bakery Caffé,13065,49.28691,-123.1224397,"1115 Melville St (Thurlow St.), Vancouver BC V6E 0B7",3,23
83,Freshii,13065,49.2870172674231,-123.124732190907,"1185 Georgia St W (Bute), Vancouver BC V6E 4E6",2.5,43
84,Time Out Cafe,13065,49.2871308,-123.1233201,"1150 Melville St (btwn Thurlow and Bute), Vancouver BC V6E 4P6",1.5,8
85,Symphonie Restaurant,13065,49.287763115895,-123.121954835852,"1140 Pender St W (Pender & Thurlow), Vancouver BC V6E 4G1",4,47
86,Steamworks Brewing Company,13065,49.28498,-123.11084,"375 Water St (at Richards St), Vancouver BC V6B 5C6",3.5,776
87,The Poke Guy,13065,49.2837389,-123.1120629,"420 Richards St (at W Hastings St), Vancouver BC V6B 2Z3",4.5,207
88,Trees Organic Coffee,13065,49.2848880197924,-123.114343569975,"450 Granville St (btwn W. Hastings & W. Pender St.), Vancouver BC V6C 1V4",3.5,173
89,Vegan Pudding,13065,49.2837981796105,-123.11221144443,"422 Richards St, Vancouver BC V6B 2Z4",4.5,85
90,Kita No Donburi,13065,49.2845695,-123.1132762,"423 Seymour St (at W Hastings St), Vancouver BC V6B 3H5",3.5,140
91,Deville Coffee,13065,49.2853546768392,-123.112465843043,"325 Seymour St (W Cordova St), Vancouver BC V6B 0S8",4.5,15
92,Waves Coffee House,13065,49.2837817,-123.1119746,"492 Hastings St W (at Richards St), Vancouver BC V6B 1L1",2.5,38
93,Freshslice Pizza,13065,49.2838171,-123.1132851,"549 Pender St W (btwn Seymour & Richards St), Vancouver BC V6B 1V5",2,23
94,Burger King,13065,49.2840347,-123.1141891,"612 Pender St W, Vancouver BC V6B 1V8",2,17
95,De Dutch,13065,49.2673825,-123.112985,"410 2nd Ave W (Yukon St), Vancouver BC V5Y 1E2",2.5,40
96,reLiSH Gourmet Burgers,13065,49.2679537,-123.1117883,"340 2nd Ave W, Vancouver BC V5Y 1C8",2.5,6
97,Bufala,13065,49.2374125128053,-123.155639817237,"5395 West Blvd (at W 38th Ave), Vancouver BC V6M 3W4",3.5,148
98,White Spot Kerrisdale,13065,49.2376472,-123.155693,"5367 West Blvd (37th), Vancouver BC V6M 3W4",2.5,50
99,McDonald's,13065,49.2851579983642,-123.064025,"1965 Powell St (at Semlin Dr), Vancouver BC V5L 1J2",2.5,9
100,Dundas Eat + Drink,13065,49.285084,-123.062273,"2077 Dundas St (Lakewood Dr), Vancouver BC V5L 1J5",4.5,71
101,Landmark Hotpot House,13065,49.2498660758194,-123.11556053834,"4023 Cambie St (at W. King Edward Ave.), Vancouver BC V5Z 2X9",4,121
102,Kosoo Restaurant,13065,49.2890856,-123.1326402,"832 Cardero St, Vancouver BC V6G 2G5",3.5,165
103,Sura Korean Cuisine,13065,49.2888601838143,-123.131742169312,"1518 Robson St, Vancouver BC V6G 1C2",4,426
104,Hokkaido Ramen Santouka,13065,49.290236,-123.133811,"1690 Robson St (at Bidwell St), Vancouver BC V6G 1C7",4,987
105,Viet Sub,13065,49.2901826,-123.1337111,"1682 Robson St (btwn Bidwell & Cardero), Vancouver BC V6G 1C7",4,64
106,Zabu Chicken,13065,49.289849,-123.132666,"1635 Robson St, Vancouver BC V6G 1C8",3,232
107,Hongdae Pocha Korean BBQ,13065,49.28972,-123.1333,"1642 Robson St, Vancouver BC V6G 1C7",3,34
108,McDonald's,13065,49.2906798162448,-123.133832132379,"1701 Robson St (at Bidwell St), Vancouver BC V6G 1C9",2.5,12
109,Collective Goods Bistro & Grocer,13065,49.2531205,-123.0678002,"3532 Commercial St, Vancouver BC V5N 4E9",4,18
110,Number e food,13065,49.277569151917,-123.131018212403,"1308 Burrard St (Drake St), Vancouver BC V6Z 2B7",5,135
111,Nando's,13065,49.2778746,-123.1276559,"828 Davie St (at Howe St.), Vancouver BC V6Z 2S2",3.5,202
112,Sushi Mugen,13065,49.2786508,-123.1282232,"903 Davie St, Vancouver BC V6Z 1B9",4,106
113,Firecrust,13065,49.2777868,-123.1274639,"808 Davie St (Howe St), Vancouver BC V6Z 2S2",4,140
114,Giardino,13065,49.276991,-123.1301021,"1328 Hornby St (Drake), Vancouver BC V6Z 1W5",4,123
115,Subway,13065,49.2767593,-123.1270705,"1255 Granville St, Vancouver BC V6Z 1M5",2,1
116,Daikichi Sushi,13065,49.2773454,-123.1314919,"1346 Burrard St (at Harwood St.), Vancouver BC V6Z 2B7",3,83
117,White Spot,13065,49.276139219048,-123.128192383024,"718 Drake St (at Granville St), Vancouver BC V6Z 2W6",2.5,89
