name,category_id,latitude,longitude,location_formatted_address,rating,review_count,bike_station_id,distance
Edible Flours,13065,49.2637482974399,-123.156828558096,"2280 West Broadway (btwn Vine & Yew), Vancouver BC V6K 2E3",4.0,81,2681455ba2d97283998a806b14d3e95c,105.0
Z&W Shanghai,13065,49.2635679666207,-123.153370158669,"2126 West Broadway, Vancouver BC V6K 2C8",4.0,23,2681455ba2d97283998a806b14d3e95c,132.5
Jamjar - Folk Lebanese Food,13065,49.264412,-123.0695951,"2280 Commercial Dr at E 7th Ave (at E 7th Ave), Vancouver BC V5N 4B5",4.0,254,c64ee19c62a363019ddbaedf71df2882,77.0
Uncle Fatih's Pizza,13065,49.2624549,-123.0700874,"1685 Broadway E (Commercial Dr), Vancouver BC V5N 1V9",3.5,171,c64ee19c62a363019ddbaedf71df2882,151.5
Loku Japanese Cuisine,13065,49.264412,-123.0695951,"2280 Commercial Dr, Vancouver BC V5N 4B5",3.5,25,c64ee19c62a363019ddbaedf71df2882,75.5
B House,13065,49.264473795087,-123.069533295929,"2260 Commercial Dr, Vancouver BC V5N 4B5",4.5,19,c64ee19c62a363019ddbaedf71df2882,79.0
Sunshine Diner,13065,49.264136,-123.165389,"2649W Broadway W (btwn Stephens & Trafalgar), Vancouver BC V6K 2G2",3.5,149,abfaf72456a4828a22f5bf60d3a80777,58.5
Nat's New York Pizzeria,13065,49.2638609,-123.1659228,"2684 Broadway W (btw Stephens & Trafalgar), Vancouver BC V6K 2G3",3.5,119,abfaf72456a4828a22f5bf60d3a80777,99.0
White Spot,13065,49.2638179420072,-123.163287331925,"2518 Broadway W, Vancouver BC V6K 2G1",3.5,64,abfaf72456a4828a22f5bf60d3a80777,115.5
Coco et Olive Fine Foods & Cafe,13065,49.251657,-123.1011876,"3707 Main St (21st Ave), Vancouver BC V5V 3N8",3.5,82,89a0b49a66e54a7639ad960962148a3e,108.0
Bob Likes Thai Food,13065,49.25134,-123.10133,"3755 Main St (22nd Avenue E), Vancouver BC V5V 3N8",3.5,193,89a0b49a66e54a7639ad960962148a3e,149.0
Pizza Hut,13065,49.2543999,-123.10131,"3425 Main St, Vancouver BC V5V 3M9",1.5,38,89a0b49a66e54a7639ad960962148a3e,185.5
New Sun Restaurant,13065,49.2592643,-123.1152101,"2925 Cambie St, Vancouver BC V5Z 2V7",3.5,27,07b13214cb69f2ec007d888450f3d6bc,47.5
Bubble Waffle Cafe,13065,49.26086,-123.11629,"555 12th Ave W, Vancouver BC V5Z 3X7",4.0,17,07b13214cb69f2ec007d888450f3d6bc,187.0
Five Star Fried Chicken,13065,49.26086,-123.11629,"555 12th Ave W (Cambie St), Vancouver BC V5Z 3X7",3.0,6,07b13214cb69f2ec007d888450f3d6bc,189.5
Peaked Pies,13065,49.2896489,-123.1384797,"975 Denman St, Vancouver BC V6G 2M3",4.5,194,f5e8fa1fc4252bda2f93dd27ed2d603f,65.0
Legendary Noodle House,13065,49.2883958,-123.13983,"1074 Denman St (at Comox St), Vancouver BC V6G 2M8",3.5,227,f5e8fa1fc4252bda2f93dd27ed2d603f,118.0
A&W,13065,49.28962299,-123.13854395,"991 Denman St, Vancouver BC V6G 2M3",3.5,4,f5e8fa1fc4252bda2f93dd27ed2d603f,60.5
Cafe Phin and Pho,13065,49.2896213,-123.1380437,"976 Denman St (btwn Nelson & Barclay), Vancouver BC V6G 2M1",4.0,144,f5e8fa1fc4252bda2f93dd27ed2d603f,70.5
Panago Pizza,13065,49.289681,-123.1384315,"969 Denman St (btwn Barclay & Nelson), Vancouver BC V6G 2M3",3.0,20,f5e8fa1fc4252bda2f93dd27ed2d603f,70.5
Gillaneh Grill House,13065,49.2884058,-123.1398146,"1072 Denman St (Comox), Vancouver BC V6G 2M8",3.0,40,f5e8fa1fc4252bda2f93dd27ed2d603f,116.0
Nat's New York Pizzeria,13065,49.28829,-123.13985,"1080 Denman St, Vancouver BC V6G 2M8",3.5,94,f5e8fa1fc4252bda2f93dd27ed2d603f,132.0
Big Bang Sushi,13065,49.2883087715973,-123.140502534807,"1103 Denman St, Vancouver BC V6G 2M7",4.5,13,f5e8fa1fc4252bda2f93dd27ed2d603f,175.5
Tableau Bar Bistro,13065,49.287494,-123.1235689,"1181 Melville St (btwn Bute & Thurlow), Vancouver BC V6E 0A3",4.0,264,c2a9c5d0e4578b928554c86f3d2c1162,42.0
Sciué Italian Bakery Caffé,13065,49.28691,-123.1224397,"1115 Melville St (Thurlow St.), Vancouver BC V6E 0B7",3.0,23,c2a9c5d0e4578b928554c86f3d2c1162,154.0
Freshii,13065,49.287017267423145,-123.1247321909074,"1185 Georgia St W (Bute), Vancouver BC V6E 4E6",2.5,43,c2a9c5d0e4578b928554c86f3d2c1162,111.5
Time Out Cafe,13065,49.2871308,-123.1233201,"1150 Melville St (btwn Thurlow and Bute), Vancouver BC V6E 4P6",1.5,8,c2a9c5d0e4578b928554c86f3d2c1162,91.0
Symphonie Restaurant,13065,49.28776311589496,-123.12195483585218,"1140 Pender St W (Pender & Thurlow), Vancouver BC V6E 4G1",4.0,47,c2a9c5d0e4578b928554c86f3d2c1162,168.5
Steamworks Brewing Company,13065,49.28498,-123.11084,"375 Water St (at Richards St), Vancouver BC V6B 5C6",3.5,776,5f45325fdd6334a4c0d3b62853b19fa6,105.5
The Poke Guy,13065,49.2837389,-123.1120629,"420 Richards St (at W Hastings St), Vancouver BC V6B 2Z3",4.5,207,5f45325fdd6334a4c0d3b62853b19fa6,142.0
Trees Organic Coffee,13065,49.2848880197924,-123.114343569975,"450 Granville St (btwn W. Hastings & W. Pender St.), Vancouver BC V6C 1V4",3.5,173,5f45325fdd6334a4c0d3b62853b19fa6,145.0
Vegan Pudding,13065,49.2837981796105,-123.11221144443,"422 Richards St, Vancouver BC V6B 2Z4",4.5,85,5f45325fdd6334a4c0d3b62853b19fa6,142.5
Kita No Donburi,13065,49.2845695,-123.1132762,"423 Seymour St (at W Hastings St), Vancouver BC V6B 3H5",3.5,140,5f45325fdd6334a4c0d3b62853b19fa6,83.5
Deville Coffee,13065,49.2853546768392,-123.11246584304324,"325 Seymour St (W Cordova St), Vancouver BC V6B 0S8",4.5,15,5f45325fdd6334a4c0d3b62853b19fa6,25.5
Waves Coffee House,13065,49.2837817,-123.1119746,"492 Hastings St W (at Richards St), Vancouver BC V6B 1L1",2.5,38,5f45325fdd6334a4c0d3b62853b19fa6,140.0
Freshslice Pizza,13065,49.2838171,-123.1132851,"549 Pender St W (btwn Seymour & Richards St), Vancouver BC V6B 1V5",2.0,23,5f45325fdd6334a4c0d3b62853b19fa6,163.0
