fsq_id,category_id,chains,distance,latitude,longitude,location_country,location_cross_street,location_formatted_address,location_locality,location_postcode,location_region,location_timezone,name,bike_station_id
5b6e27f7c66666002c32ea31,13065,[],62,49.267881,-123.157311,CA,West 4th,"2028 Vine St (West 4th), Vancouver BC V6K 3K1",Vancouver,V6K 3K1,BC,America/Vancouver,Kokomo,3596b4831ee2ea7812de753b32306835
61340bc71ef7f12ee8f1f1a2,13065,[],62,49.268077,-123.15676,CA,,"2272W 4Th Ave W 4Th, Vancouver BC V6K 1N8",Vancouver,V6K 1N8,BC,America/Vancouver,Delara,3596b4831ee2ea7812de753b32306835
615921cd964256670def27af,13065,[],133,49.267959,-123.155615,CA,,"2214 4th Ave W, Vancouver BC V6K 1N8",Vancouver,V6K 1N8,BC,America/Vancouver,Jackson's Resto Butcher,3596b4831ee2ea7812de753b32306835
4b92a3f7f964a520ac0c34e3,13065,"[{'id': 'ab4a3530-d68a-012e-5619-003048cad9da', 'name': ""McDonald's""}]",146,49.26838,-123.159543,CA,at Balsam St,"2391 4th Ave W (at Balsam St), Vancouver BC V6K 1P2",Vancouver,V6K 1P2,BC,America/Vancouver,McDonald's,3596b4831ee2ea7812de753b32306835
c769ebe8385c440770d70a08,13065,[],65,49.267964,-123.15675,CA,,"2272 4th Ave W, Vancouver BC V6K 1N8",Vancouver,V6K 1N8,BC,,Romios Greek Taverna,3596b4831ee2ea7812de753b32306835
593854eff8e64b91b46ed0e1,13065,[],159,49.268061,-123.159597,CA,,"2394 4th Ave W, Vancouver BC V6K 1P1",Vancouver,V6K 1P1,BC,,Peaceful Restaurant 和平饭店,3596b4831ee2ea7812de753b32306835
5bb776533e6148a980a6196e,13065,[],163,49.268365,-123.159704,CA,,"2394 4th Ave W, Vancouver BC V6K 1P1",Vancouver,V6K 1P1,BC,,New Kitsilano Restaurant,3596b4831ee2ea7812de753b32306835
3f8558c4f729416be7f07b88,13065,[],164,49.268082,-123.15968,CA,,"2394 4th Ave W, Vancouver BC V6K 1P1",Vancouver,V6K 1P1,BC,,Ho Rai Ya Japanese Restaurant,3596b4831ee2ea7812de753b32306835
6181feaec596493e70819c06,13065,[],195,49.267979,-123.154805,CA,,"2198 4th Ave W, Vancouver BC V6K 1N6",Vancouver,V6K 1N6,BC,,Lucky's Doughnuts,3596b4831ee2ea7812de753b32306835
53c4959b498ebad0cc0cdfb4,13065,[],104,49.261909,-123.103193,CA,E 10th Ave,"2601 Quebec St (E 10th Ave), Vancouver BC V5T 3A6",Vancouver,V5T 3A6,BC,America/Vancouver,The Federal Store,35eb539fb9298bb7e4f6759ca0256505
4f3c144be4b05966f654ffd6,13065,"[{'id': 'ab4bee40-d68a-012e-5619-003048cad9da', 'name': 'Subway'}]",145,49.262852,-123.103192,CA,,"98 Broadway E, Vancouver BC V5T 1V6",Vancouver,V5T 1V6,BC,America/Vancouver,Subway,35eb539fb9298bb7e4f6759ca0256505
50ef41f7e4b016fee4a9c3fe,13065,[],118,49.263218,-123.10444,CA,at Ontario Street,"1 Broadway E (at Ontario Street), Vancouver BC V5T 1V4",Vancouver,V5T 1V4,BC,America/Vancouver,Broadway Indochine Kitchen + Bar,35eb539fb9298bb7e4f6759ca0256505
2cc013b21b1c4dfb599e7061,13065,[],92,49.261797,-123.10586,CA,,"46 10th Ave W, Vancouver BC V5Y 1R6",Vancouver,V5Y 1R6,BC,,Tea Sparrow,35eb539fb9298bb7e4f6759ca0256505
690758f5806b487f4e7aa40a,13065,"[{'id': 'ab4bee40-d68a-012e-5619-003048cad9da', 'name': 'Subway'}]",113,49.262687,-123.103421,CA,,"8615 E Broadway, Vancouver BC V5T 1X7",Vancouver,V5T 1X7,BC,,Subway,35eb539fb9298bb7e4f6759ca0256505
531e42e3dedb4405a402c779,13065,[],136,49.262894,-123.106035,CA,,"60 Broadway W, Vancouver BC V5Y 1P2",Vancouver,V5Y 1P2,BC,,New Grand View Restaurant,35eb539fb9298bb7e4f6759ca0256505
b501a5ce8a144f8d8c32920a,13065,[],182,49.262759,-123.102373,CA,,"128 Broadway E, Vancouver BC V5T 1V9",Vancouver,V5T 1V9,BC,,Fami Pho,35eb539fb9298bb7e4f6759ca0256505
4fbbcacd30cb4eee1005e5c9,13065,[],198,49.263645,-123.105936,CA,,"42 8th Ave W, Vancouver BC V5Y 1M7",Vancouver,V5Y 1M7,BC,,Vera's Burger Shack,35eb539fb9298bb7e4f6759ca0256505
507dd57ae4b0f6ed551b6390,13065,[],193,49.263603,-123.125155,CA,,"943 Broadway W, Vancouver BC V5Z 4E1",Vancouver,V5Z 4E1,BC,America/Vancouver,Deja Brew,ace20c241ee38643c9060f290b215b9d
4ab2985af964a520886b20e3,13065,[],152,49.265765,-123.122257,CA,at Willow St.,"816W 6th Ave W (at Willow St.), Vancouver BC V5Z 1A6",Vancouver,V5Z 1A6,BC,America/Vancouver,Yanaki Sushi,ace20c241ee38643c9060f290b215b9d
